ref;nom;description;collection;sousfamille;taille;matiere;forme;cible;colori_standard;colori_web;entreeencollection;sortiedecollection;people;photo_people;pola;shoote;lienvideo;prixafiche;enmagasin
FOALBRIGHTC8;ALBRIGHT;ALBRIGHT C8 FS Optique;freakshow;Optique;53-16-140;AT;RECTANGULAIRE;F;NOIR;;20190410;;;;;0;;52.00;0
FOELEVENC2;ELEVEN;ELEVEN C2 FS Optique;freakshow;Optique;53-20-140;ME;RECTANGULAIRE;F;BLEU;;20181003;;;;;0;;62.00;1
FOGAMORAC3;GAMORA;GAMORA C3 FS OPTIQUE;freakshow;Optique;52-19-140;AT;PAPILLONANTE;F;VIOLET;;20190131;;;;;0;;62.00;0
FOHADIDC1;HADID;HADID C1 FS Optique;freakshow;Optique;51-19-140;CO;PAPILLONNANTE;F;ROSE;;20190221;;;;;0;;64.00;0
FOHADIDC2;HADID;HADID C2 FS Optique;freakshow;Optique;51-19-140;CO;PAPILLONNANTE;F;BLEU;;20190221;;;;;0;;64.00;0
FOKENTC3;KENT;KENT C3 FS OPTIQUE;freakshow;Optique;54-18-145;ME;RECTANGULAIRE;H;NOIR;;20180912;;;;;1;;59.00;0
FOSCOTCHBRITC3;SCOTCHBRIT;SCOTCHBRIT C3 FS Optique;freakshow;Optique;50-16-143;AT;PAPILLONNANTE;F;MARRON;;20160919;;;;;1;;66.00;0
FOSPIELBERGC2;SPIELBERG;SPIELBERG C2 FS Optique;freakshow;Optique;47-22-145;AU;RONDE;H;CRYSTAL;;20160919;;;;;1;;69.00;0
FOTAUTOUC1;TAUTOU;TAUTOU C1 FS OPTIQUE;freakshow;Optique;52-19-140;AU;RONDE;U;NOIR;;20181003;;;;;0;;62.00;0
FOURQUIOLAC3;URQUIOLA;URQUIOLA C3 FS Optique;freakshow;Optique;53-17-140;AT;RECTANGULAIRE;F;BLEU;;20190221;;;;;0;;65.00;0
FSBULLOCKC1;BULLOCK;BULLOCK C1 FS Solaire;freakshow;Solaire;51-17-136;AT;PAPILLONNANTE;F;GRIS;;20170805;;;;1;1;;65.00;1
FSDUNAWAYC2;DUNAWAY;DUNAWAY C2 FS Solaire;freakshow;Solaire;51-20-135;AT;RECTANGULAIRE;F;NOIR;;20160919;;;;1;1;;73.00;1
FSDUNAWAYC3;DUNAWAY;DUNAWAY C3 FS Solaire;freakshow;Solaire;51-20-135;AT;RECTANGULAIRE;F;ROUGE;;20160919;;;;1;1;;73.00;0
FSGREENC2;GREEN;GREEN C2 FS SOLAIRE;freakshow;Solaire;54-20-140;ME;RONDE;F;BLANC;;20190131;;;;;0;;66.00;0
FSGREENC3;GREEN;GREEN C3 FS SOLAIRE;freakshow;Solaire;54-20-140;ME;RONDE;F;NOIR;;20190131;;;;;0;;66.00;1
FSNEBULAC2;NEBULA;NEBULA C2 FS SOLAIRE;freakshow;Solaire;52-21-140;CO;PAPILLONNANTE;F;NOIR;;20180912;;;;1;1;;62.00;0
FSSALDANAC1;SALDANA;SALDANA C1 FS SOLAIRE;freakshow;Solaire;52-18-140;CO;PAPILLONNANTE;F;NOIR;;20180219;;;;1;0;;65.00;1
FSSALDANAC2;SALDANA;SALDANA C2 FS SOLAIRE;freakshow;Solaire;52-18-140;CO;PAPILLONNANTE;F;MARRON;;20180219;;;;1;1;;65.00;1
FSSALDANAC4;SALDANA;SALDANA C4 FS SOLAIRE;freakshow;Solaire;52-18-140;CO;PAPILLONNANTE;F;JAUNE;;20190708;;;;1;0;;65.00;1
FSSCORSESEC2;SCORSESE;SCORSESE C2 FS Solaire;freakshow;Solaire;54-20-145;ME;PILOTE;H;BLEU;;20181030;;;;;0;;64.00;0
IOVVC1;VV;VV C1 IC OPTIQUE;icons;Optique;53-18-140;ME;PAPILLONNANTE;F;ORANGE;;20181010;;;;;1;;95.00;0
ISBEATSLAYERC2;BEATSLAYER;BEATSLAYER C2 IC Solaire;icons;Solaire;52-18-145;AU;PAPILLONNANTE;F;;;20180219;30/05/2019;;;1;1;;99.00;0
ISGLAMAZONC2;GLAMAZON;GLAMAZON C2 IC Solaire;icons;Solaire;55-18-148;ME;RONDE;F;;;20181010;29/05/2019;;;1;1;;99.00;0
ISHOTELC2;HOTEL;HOTEL C2 IC Solaire;icons;Solaire;57-17-150;ME;PILOTE;H;;;20181010;30/05/2019;;;1;1;;99.00;0
LORADIOCITYC1;RADIOCITY;RADIOCITY C1 LV Optique;little-vinyl;Optique;47-16-130;AT;RECTANGULAIRE;J;ROSE;;20190306;;;;;0;;39.00;0
LORADIOCITYC2;RADIOCITY;RADIOCITY C2 LV Optique;little-vinyl;Optique;47-16-130;AT;RECTANGULAIRE;J;VIOLET;;20190306;;;;;0;;39.00;0
LOTRIFFIDC2;TRIFFID;TRIFFID C2 LV Optique;little-vinyl;Optique;46-17-135;AT;PANTOS;J;MARRON;;20190306;;;;;0;;39.00;1
LOTRIFFIDC3;TRIFFID;TRIFFID c3 LV Optique;little-vinyl;Optique;46-17-135;AT;PANTOS;J;GRIS;;20190306;;;;;0;;39.00;1
LSAPOLLOC2;APOLLO;APOLLO C2 LV Solaire;little-vinyl;Solaire;45-18-130;AT;PANTOS;J;BLEU;;20180115;;;;1;1;;49.00;1
LSTHELKAC1;THELKA;THELKA C1 LV Solaire;little-vinyl;Solaire;45-19-130;CO;PAPILLONNANTE;J;NOIR;;20180416;;;;1;1;;49.00;0
LSTHELKAC2;THELKA;THELKA C2 LV Solaire;little-vinyl;Solaire;45-19-130;CO;PAPILLONNANTE;J;VERT;;20180416;;;;1;1;;49.00;0
LSTHELKAC3;THELKA;THELKA C3 LV Solaire;little-vinyl;Solaire;45-19-130;CO;PAPILLONNANTE;J;ROSE;;20180416;;;;1;1;;49.00;0
VOBRAXTONC1;BRAXTON;BRAXTON C1 VF Optique;vinyl-factory;Optique;52-20-140;ME;PAPILLON;F;BLANC;ROSE;20181030;;;;;0;;64.00;0
VOBURROWSC1;BURROWS;BURROWS C1 VF Optique;vinyl-factory;Optique;53-22-145;ME;PANTOS;H;GRIS;;20181003;;;;;1;;72.00;0
VOBURROWSC2;BURROWS;BURROWS C2 VF Optique;vinyl-factory;Optique;53-22-145;ME;PANTOS;H;MARRON;;20181003;;;;;1;;72.00;0
VOCOYNEC2;COYNE;COYNE C2 VF Optique;vinyl-factory;Optique;48-20-145;ME;RONDE;H;MARRON;;20190221;;;;;0;;65.00;0
VOCOYNEC3;COYNE;COYNE C3 VF Optique;vinyl-factory;Optique;48-20-145;ME;RONDE;H;OR ROSE;;20190221;;;;;0;;65.00;0
VOGARRETTC2;GARRETT;GARRETT C2 VF Optique;vinyl-factory;Optique;46-21-145;CO;OVAL;U;SILVER;BLACK INK AND MAT SILVER;20131001;;;;;1;;59.00;0
VOGARRETTC3;GARRETT;GARRETT C3 VF Optique;vinyl-factory;Optique;46-21-145;CO;OVAL;U;NOIR;AGATE HAVANA TORTOISE AND MAT BLACK;20131001;;;;;1;;59.00;0
VOGODDARDC1;GODDARD;GODDARD C1 VF Optique;vinyl-factory;Optique;50-22-146;CO;PANTOS;H;MARRON;;20190131;;;;;0;;65.00;1
VOGODDARDC2;GODDARD;GODDARD C2 VF Optique;vinyl-factory;Optique;50-22-146;CO;PANTOS;H;OR ROSE;;20190131;;;;;0;;65.00;1
VOGOULDINGC3;GOULDING;GOULDING C3 VF Optique;vinyl-factory;Optique;49-18-145;ME;PAPILLONNANTE;F;MARRON;;20171006;;;;;1;;72.00;1
VOHOOKC2;HOOK;HOOK C2 VF Optique;vinyl-factory;Optique;51-19-145;AT;RECTANGULAIRE;H;MARRON;CURUBA WOOD;20160919;;;;;1;;65.00;1
VOLANDERC3;LANDER;LANDER C3 VF Optique;vinyl-factory;Optique;52-18-140;AT;RECTANGULAIRE;F;GRIS;;20190131;;;;;0;;65.00;1
VONOLANC1;NOLAN;NOLAN C1 VF Optique;vinyl-factory;Optique;52-20-150;AT;RECTANGULAIRE;H;BLEU;;20190221;;;;;0;;69.00;1
VONOLANC3;NOLAN;NOLAN C3 VF Optique;vinyl-factory;Optique;52-20-150;AT;RECTANGULAIRE;H;VERT;;20190221;;;;;0;;69.00;1
VOOLDLANDC2;OLDLAND;OLDLAND C2 VF Optique;vinyl-factory;Optique;51-21-140;ME;RECTANGULAIRE;F;OR ROSE;;20190221;;;;;0;;74.00;0
VOPALMERC1;PALMER;PALMER C1 VF Optique;vinyl-factory;Optique;48-18-135;CO;PAPILLONNANTE;F;NOIR;;20170905;;;;;1;;71.00;0
VOPESCHC1;PESCH;PESCH C1 VF Optique;vinyl-factory;Optique;53-16-140;AT;RECTANGULAIRE;F;NOIR;;20190131;;;;;0;;66.00;0
VOSTAHLC2;STAHL;STAHL C2 VF OPTIQUE;vinyl-factory;Optique;47-22-140;ME;PAPILLONNANTE;F;GRIS;BLACK;20181003;;;;;0;;77.00;0
VOSTAHLC3;STAHL;STAHL C3 VF OPTIQUE;vinyl-factory;Optique;47-22-140;ME;PAPILLONNANTE;F;OR ROSE;PINK;20181003;;;;;0;;77.00;0
VSAINGERC1;AINGER;AINGER C1 VF Solaire;vinyl-factory;Solaire;51-18-145;CO;RECTANGULAIRE;H;BLEU;;20181010;;;;1;1;;83.00;1
VSBORRELLC1;BORRELL;BORRELL C1 VF Solaire;vinyl-factory;Solaire;49-22-145;ME;PANTOS;H;OR;;20181010;;;;1;1;;75.00;0
VSBORRELLC2;BORRELL;BORRELL C2 VF Solaire;vinyl-factory;Solaire;49-22-145;ME;PANTOS;H;OR ROSE;;20181010;;;;1;1;;75.00;0
VSCAVALERAC2;CAVALERA;CAVALERA C2 VF SOLAIRE;vinyl-factory;Solaire;60-16-150;ME;RECTANGULAIRE;H;OR ROSE;;20180912;;;;1;1;;77.00;0
VSHASSANC4;HASSAN;HASSAN C4 VF Solaire;vinyl-factory;Solaire;50-19-145;ME;RONDE;F;GRIS;;20160919;;;;1;0;;79.00;0
VSKANEC2;KANE;KANE  C2 VF Solaire;vinyl-factory;Solaire;53-20-145;ME;PANTOS;U;ARGENT;SILVER;20181010;;;;1;0;;83.00;0
VSKANEC3;KANE;KANE  C3 VF Solaire;vinyl-factory;Solaire;53-20-145;ME;PANTOS;U;OR ROSE;PINK;20181010;;;;1;0;;83.00;0
