id,Title,Date,CustomerCode,Type,ItemCode,Remarques,"Paire de branche","Branche gauche","Branche droite","Verres présentation","Verres solaires",Face,Tenon,"Vis plaquettes","Vis face","Vis branches",Manchon,Plaquettes,Vis,"Manchon gauche","Manchon droit","Tenon gauche","Tenon droit"
80631,"Utilisateur : 195 - Référence monture : 1755",20171013,C0142602710,"Pièces détachées",,,1,,,,,,,,,,,,,,,,
80632,"Utilisateur : 3243 - Référence monture : 1294",20171016,C0558773901,"Pièces détachées",,sartena,,,,,,1,,,,,,,,,,,
82216,"Utilisateur : 195 - Référence monture : 82193",20171023,C0142602710,"Pièces détachées",,,1,,,,,,,,,,,,,,,,
82217,"Utilisateur : 3155 - Référence monture : 82098",20171023,C0555521425,"Pièces détachées",,,,,,,,1,,,,,,,,,,,
85279,"Utilisateur : 2149 - Référence monture : 83860",20171106,C0442700255,"Pièces détachées",,"REF CLIENT GUILLE( ESPLANADE Col C3 48/18)",1,,,,,,,,,,,,,,,,
85280,"Utilisateur : 435 - Référence monture : 83793",20171106,C0149625303,"Pièces détachées",,"ref marques zara",,,1,,,,,,,,,,,,,,
85281,"Utilisateur : 1089 - Référence monture : 85263",20171106,C0298517505,"Pièces détachées",,"porteur Marine Aubert",,,,,,1,,,,,,,,,,,
85282,"Utilisateur : 1089 - Référence monture : 85263",20171106,C0298517505,"Pièces détachées",,,,,,,,1,,,,,,,,,,,
85283,"Utilisateur : 29 - Référence monture : 83904",20171106,C+3545112500,"Pièces détachées",,,1,,,,,,,,,,,,,,,,
85284,"Utilisateur : 29 - Référence monture : 85252",20171106,C+3545112500,"Monture complète",,,,,,,,,,,,,,,,,,,
85285,"Utilisateur : 2422 - Référence monture : 83157",20171106,C0473389774,"Pièces détachées",,"Plaquettes silicone déchirée !  Merci . ",,,,,,1,,,,,,,,,,,
85294,"Utilisateur : 3376 - Référence monture : 84062",20171107,C0562070006,"Monture complète",,,,,,,,,,,,,,,,,,,
