Code du partenaire;Adresse compléte;ID adresse;Rue;Bloquer;Ville;Code postal;Nom
ES0034635011895;Kambio Carrer de Avinyo, n° 25 Barrio Gatico  Barcelona 8002 Spain;Kambio;Carrer de Avinyo, n° 25;Barrio Gatico;Barcelona;8002;Spain
ES0034948220913;OPTICA NAVARRA PAMPLONA Arrieta 29   Pamplona (Navarra) 31002 Spain;OPTICA NAVARRA PAMPLONA;Arrieta 29;;Pamplona (Navarra);31002;Spain
ES0034948713102;OPTICA NAVARRA Avenida de la Paz 5   Peralta 31350 Spain;OPTICA NAVARRA;Avenida de la Paz 5;;Peralta;31350;Spain
ES0034981589896;ÓPTICA PÉREZ VILA  SENRA 22   SANTIAGO DE COMPOSTELA 15702 Spain;ÓPTICA PÉREZ VILA; SENRA 22;;SANTIAGO DE COMPOSTELA;15702;Spain
ES34918311690;Optometria 52 paseo de la habana   Madrid 28036 Spain;Optometria;52 paseo de la habana;;Madrid;28036;Spain
ES376109124;CENTRO OPTICO MARTÍNEZ LORCA AV. PORTUGAL, Nº 13   Madrid 28921 Spain;CENTRO OPTICO MARTÍNEZ LORCA;AV. PORTUGAL, Nº 13;;Madrid;28921;Spain
ES606936396;OPTICA ABEL INDUSTRIA, 26   Baleares 7013 Spain;OPTICA ABEL;INDUSTRIA, 26;;Baleares;7013;Spain
ES610348411;MUNDIOPTICAS LOS ABRIGOS AV. GENERAL DE LOS ABRIGOS, 6   Sta. Cruz de Tenerife 38618 Spain;MUNDIOPTICAS LOS ABRIGOS;AV. GENERAL DE LOS ABRIGOS, 6;;Sta. Cruz de Tenerife;38618;Spain
ES617072960;C.ANDALUZ DE OPTOMETRIA Y OPT.   BAÑOS, 29   Jaén 23700 Spain;C.ANDALUZ DE OPTOMETRIA Y OPT.;  BAÑOS, 29;;Jaén;23700;Spain
ES617722810;OPTICA ANA COLLADO   CALZADA DE CASTRO, 58   Almería 4006 Spain;OPTICA ANA COLLADO;  CALZADA DE CASTRO, 58;;Almería;4006;Spain
ES619849075;OPTICA DENTAL SIGLO XXI   PARQUE, Nº 13   Madrid 28807 Spain;OPTICA DENTAL SIGLO XXI;  PARQUE, Nº 13;;Madrid;28807;Spain
ES627016365;OPTIMARRATXI CABANA, 83 LOCAL 5   Baleares 7141 Spain;OPTIMARRATXI;CABANA, 83 LOCAL 5;;Baleares;7141;Spain
ES630337596;ANITE CENTRO OPTICO   GRAN VIA, 24   Madrid 30430 Spain;ANITE CENTRO OPTICO;  GRAN VIA, 24;;Madrid;30430;Spain
ES637686194;VULCANO OPTICA   POLLO MARTIN, 27   Salamanca 37005 Spain;VULCANO OPTICA;  POLLO MARTIN, 27;;Salamanca;37005;Spain
ES639437962;MASQUEOPTICA   JUAN DE AUSTRIA, 10   Alicante 3680 Spain;MASQUEOPTICA;  JUAN DE AUSTRIA, 10;;Alicante;3680;Spain
ES644382147;OPTICA SMART VISIO   SANT ROC, 56   Barcelona 8340 Spain;OPTICA SMART VISIO;  SANT ROC, 56;;Barcelona;8340;Spain
ES645137896;OPTICAVISION IBALLA AV. JOSE ANTONIO GALLEGO, 2   Sevilla 41749 Spain;OPTICAVISION IBALLA;AV. JOSE ANTONIO GALLEGO, 2;;Sevilla;41749;Spain
ES647729604;OPTICA GASPAR   FERNANDO MADROÑAL, 6   Alicante 3007 Spain;OPTICA GASPAR;  FERNANDO MADROÑAL, 6;;Alicante;3007;Spain
ES647759782;OPTIC BRAILE, 9   Huelva 21700 Spain;OPTIC;BRAILE, 9;;Huelva;21700;Spain
ES651318280;CENTRO OPTICO BAEZA   JORGE MANRIQUE, 12   Jaén 23440 Spain;CENTRO OPTICO BAEZA;  JORGE MANRIQUE, 12;;Jaén;23440;Spain
ES651373897;OPTICA PINTOR RIBERA   PINTOR RIBERA, 9   Madrid 28933 Spain;OPTICA PINTOR RIBERA;  PINTOR RIBERA, 9;;Madrid;28933;Spain
ES651909523;NATURA OPTICOS SAN PEDRO   BAHIA, BLOQUE 5, LOCAL 1   Málaga 29670 Spain;NATURA OPTICOS SAN PEDRO;  BAHIA, BLOQUE 5, LOCAL 1;;Málaga;29670;Spain
ES653830207;VELAVISION PASEO DE LAS PROVINCIAS, 3   Madrid 28529 Spain;VELAVISION;PASEO DE LAS PROVINCIAS, 3;;Madrid;28529;Spain
ES654136587;OPTICA ZIPAQUIRA   ZIPAQUIRA, S/N   Madrid 28033 Spain;OPTICA ZIPAQUIRA;  ZIPAQUIRA, S/N;;Madrid;28033;Spain
ES655512257;OPTICA Y CENTRO AUDITIVO FURIO AV. VICENTE CREMADES, 2 BAJO D   Valencia 46117 Spain;OPTICA Y CENTRO AUDITIVO FURIO;AV. VICENTE CREMADES, 2 BAJO D;;Valencia;46117;Spain
ES657675065;OPTIRAPID AVDA. CONSTITUCIÓN, 11   Barcelona 8740 Spain;OPTIRAPID;AVDA. CONSTITUCIÓN, 11;;Barcelona;8740;Spain
ES658828742;OPTICA PIZARRA   LEALTAD, 1  LOCAL 3   Málaga 29560 Spain;OPTICA PIZARRA;  LEALTAD, 1  LOCAL 3;;Málaga;29560;Spain
ES661263117;OPTICA TODOVISION PLAZA COSTA DEL SOL, 2   Málaga 29620 Spain;OPTICA TODOVISION;PLAZA COSTA DEL SOL, 2;;Málaga;29620;Spain
ES662340151;GALAN OPTICOS   SAN JUAN, Nº 2   Málaga 29130 Spain;GALAN OPTICOS;  SAN JUAN, Nº 2;;Málaga;29130;Spain
ES665795587;AUDIO LA MURALLA   DEL CARMEN, 69   Jaén 23660 Spain;AUDIO LA MURALLA;  DEL CARMEN, 69;;Jaén;23660;Spain
ES665994313;OPTICA J.A. VACA   TAMAR, 1   Sevilla 41006 Spain;OPTICA J.A. VACA;  TAMAR, 1;;Sevilla;41006;Spain
ES667596939;OPTICA CRISTINA RONDA MIGJORN , 15   Baleares 7620 Spain;OPTICA CRISTINA;RONDA MIGJORN , 15;;Baleares;7620;Spain
ES675955035;CENTRO OPTICO SOTO CRUCES, 24   Granada 18600 Spain;CENTRO OPTICO SOTO;CRUCES, 24;;Granada;18600;Spain
ES677046249;OPTICA ALMAGRO   MONTE ESQUIZA, 40   Madrid 28010 Spain;OPTICA ALMAGRO;  MONTE ESQUIZA, 40;;Madrid;28010;Spain
ES677734208;ALTAVISION BUJALANCE   SAN JUAN, 7 BAJO   Córdoba 14650 Spain;ALTAVISION BUJALANCE;  SAN JUAN, 7 BAJO;;Córdoba;14650;Spain
ES678401848;FARMACIA SARA DE FERNANDO   SEGOVIA, 20   Ávila 5005 Spain;FARMACIA SARA DE FERNANDO;  SEGOVIA, 20;;Ávila;5005;Spain
ES687503594;SALUD OPTICOS PLAZA DE COLON Nº 9   Córdoba 14001 Spain;SALUD OPTICOS;PLAZA DE COLON Nº 9;;Córdoba;14001;Spain
ES693485532;OPTICA BELDA SAN MARCOS, 13   Málaga 29210 Spain;OPTICA BELDA;SAN MARCOS, 13;;Málaga;29210;Spain
ES696009212;DEJA VU OPTIKA   NAFARROA BEHEREA Nº1   Vizcaya 48950 Spain;DEJA VU OPTIKA;  NAFARROA BEHEREA Nº1;;Vizcaya;48950;Spain
ES696632074;OPTICAS GAROFANO ANCHA, 49   Granada 18360 Spain;OPTICAS GAROFANO;ANCHA, 49;;Granada;18360;Spain
ES822669116;AUDIO&CO ADEJE   TINERFE EL GRANDE Nº 10   Sta. Cruz de Tenerife 38670 Spain;AUDIO&CO ADEJE;  TINERFE EL GRANDE Nº 10;;Sta. Cruz de Tenerife;38670;Spain
ES856073668;SUROPTICA   PINTOR GODOY, S/N   Cádiz 11010 Spain;SUROPTICA;  PINTOR GODOY, S/N;;Cádiz;11010;Spain
ES868061075;ALTAVISION OPTICA RAMON Y CAJAL, 152   Murcia 30205 Spain;ALTAVISION OPTICA;RAMON Y CAJAL, 152;;Murcia;30205;Spain
ES868062174;MASTIAS OPTICOS JUAN DE LA COSA, 1, BAJO   Murcia 30203 Spain;MASTIAS OPTICOS;JUAN DE LA COSA, 1, BAJO;;Murcia;30203;Spain
ES868941422;CENTRO OPTICO ZARAICHE AVDA. DE SANTIAGO, 62   Murcia 30007 Spain;CENTRO OPTICO ZARAICHE;AVDA. DE SANTIAGO, 62;;Murcia;30007;Spain
ES881925370;VISUAL OPTICOS AV. PASAJE 7 BAJO   La Coruña 15006 Spain;VISUAL OPTICOS;AV. PASAJE 7 BAJO;;La Coruña;15006;Spain
ES881981233;NEOVISION TAMBRE, 9 BAJO   La Coruña 15888 Spain;NEOVISION;TAMBRE, 9 BAJO;;La Coruña;15888;Spain
ES886202150;CENTRO OPTICO MORENO ARRIBAS GARELLANO, 6   Murcia 30300 Spain;CENTRO OPTICO MORENO ARRIBAS;GARELLANO, 6;;Murcia;30300;Spain
ES910228358;CENTRO OPTICO LA ILUVISION   FROMISTA, 3   Madrid 28050 Spain;CENTRO OPTICO LA ILUVISION;  FROMISTA, 3;;Madrid;28050;Spain
ES911158907;OPTICA MEDITERRANEO   SANCHEZ BARCAIZTEGUI, 31   Madrid 28007 Spain;OPTICA MEDITERRANEO;  SANCHEZ BARCAIZTEGUI, 31;;Madrid;28007;Spain
ES912269866;I.R.G.   ALAVA, 16   Madrid 28941 Spain;I.R.G.;  ALAVA, 16;;Madrid;28941;Spain
ES912342930;FARMACIA OPTICA VELEZ   RIOJA, Nº 17-19   Madrid 28042 Spain;FARMACIA OPTICA VELEZ;  RIOJA, Nº 17-19;;Madrid;28042;Spain
ES913023227;OPTICA TECNOS JAZMIN, 18   Madrid 28033 Spain;OPTICA TECNOS;JAZMIN, 18;;Madrid;28033;Spain
ES913146650;OPTICA IBERO GINZO DE LIMIA, 6   Madrid 28029 Spain;OPTICA IBERO;GINZO DE LIMIA, 6;;Madrid;28029;Spain
ES913153819;OPTICA EMI CAPITAN BLANCO ARGIBAY, 65   Madrid 28029 Spain;OPTICA EMI;CAPITAN BLANCO ARGIBAY, 65;;Madrid;28029;Spain
ES913205945;OPTICA KORE   NICOLASA GOMEZ, 93   Madrid 28022 Spain;OPTICA KORE;  NICOLASA GOMEZ, 93;;Madrid;28022;Spain
ES913313418;OPTICA AVANCE PUENTELARRA, 5   Madrid 28031 Spain;OPTICA AVANCE;PUENTELARRA, 5;;Madrid;28031;Spain
ES913416954;OPTICA DONBONI PLAZA DE LAS ASAMBLEAS, 11   Madrid 28041 Spain;OPTICA DONBONI;PLAZA DE LAS ASAMBLEAS, 11;;Madrid;28041;Spain
ES913510505;OPTICA LUMEN PZA. DE SAN JUAN, 2   Madrid 28224 Spain;OPTICA LUMEN;PZA. DE SAN JUAN, 2;;Madrid;28224;Spain
ES913556625;OPTICA CRISOL   FUNDADORES, Nº 3   Madrid 28028 Spain;OPTICA CRISOL;  FUNDADORES, Nº 3;;Madrid;28028;Spain
ES913559804;PRIMERA OPTICOS GARLENS FRANCISCO SILVELA, 36   Madrid 28028 Spain;PRIMERA OPTICOS GARLENS;FRANCISCO SILVELA, 36;;Madrid;28028;Spain
ES913655315;CENTRO OPTICO DEL PUERTO Pº VIRGEN DEL PUERTO, 17   Madrid 28005 Spain;CENTRO OPTICO DEL PUERTO;Pº VIRGEN DEL PUERTO, 17;;Madrid;28005;Spain
ES913668470;CENTRO OPTICO LINE HUMILLADERO, 18   Madrid 28005 Spain;CENTRO OPTICO LINE;HUMILLADERO, 18;;Madrid;28005;Spain
ES913674068;OPTICA FERRARI EMILIO FERRARI, 46   Madrid 28017 Spain;OPTICA FERRARI;EMILIO FERRARI, 46;;Madrid;28017;Spain
ES913858806;OPTICA EUROPEA PLAZA FRANCISCO MORANO, S/N   Madrid 28005 Spain;OPTICA EUROPEA;PLAZA FRANCISCO MORANO, S/N;;Madrid;28005;Spain
ES914031795;TODO OPTICA AVDA. DONOSTIARRA, 24   Madrid 28027 Spain;TODO OPTICA;AVDA. DONOSTIARRA, 24;;Madrid;28027;Spain
ES914156747;FARMACIA-OPTICA PEREZ JUNCO   CLARA DEL REY, 37   Madrid 28002 Spain;FARMACIA-OPTICA PEREZ JUNCO;  CLARA DEL REY, 37;;Madrid;28002;Spain
ES914161947;OPTICAS GOLF CLARA DEL REY, 43   Madrid 28002 Spain;OPTICAS GOLF;CLARA DEL REY, 43;;Madrid;28002;Spain
ES914165355;OPTICA VALRIVERAS CLARA DEL REY, 35   Madrid 28002 Spain;OPTICA VALRIVERAS;CLARA DEL REY, 35;;Madrid;28002;Spain
ES914306111;OPTICA ALBA CAMINO DE VALDERRIBAS, 95 B   Madrid 28038 Spain;OPTICA ALBA;CAMINO DE VALDERRIBAS, 95 B;;Madrid;28038;Spain
ES914334100;LABORATORIO NAVES DOCTOR ESQUERDO, 140   Madrid 28007 Spain;LABORATORIO NAVES;DOCTOR ESQUERDO, 140;;Madrid;28007;Spain
ES914352326;OPTICA CASADO GENERAL DIAZ PORLIER, 14   Madrid 28001 Spain;OPTICA CASADO;GENERAL DIAZ PORLIER, 14;;Madrid;28001;Spain
ES914443999;OPTICA SAN BERNARDO SAN BERNARDO,  86   Madrid 28015 Spain;OPTICA SAN BERNARDO;SAN BERNARDO,  86;;Madrid;28015;Spain
ES914454153;CENTRO ÓPTICO MAGALLANES MAGALLANES, 24   Madrid 28015 Spain;CENTRO ÓPTICO MAGALLANES;MAGALLANES, 24;;Madrid;28015;Spain
ES914459947;OPTICA ROCA SANTA ENGRACIA, 64   Madrid 28010 Spain;OPTICA ROCA;SANTA ENGRACIA, 64;;Madrid;28010;Spain
ES914464538;OPTIMON FRANCISCO DE ROJAS, 7   Madrid 28010 Spain;OPTIMON;FRANCISCO DE ROJAS, 7;;Madrid;28010;Spain
ES914485475;OPTICA QUEVEDO FEIJOÓ, 12   Madrid 28010 Spain;OPTICA QUEVEDO;FEIJOÓ, 12;;Madrid;28010;Spain
ES914567892;Oscar Carrascal pruebas Echegaray, 7   Madrid 28230 Spain;Oscar Carrascal pruebas;Echegaray, 7;;Madrid;28230;Spain
