ref;nom;description;collection;sousfamille;taille;matiere;forme;cible;colori_standard;colori_web;entreeencollection;sortiedecollection;people;photo_people;pola;shoote;lienvideo;prixafiche;enmagasin
FOARADC1;ARAD;ARAD C1 FS OPTIQUE;freakshow;Optique;53-20-145;AT;RECTANGULAIRE;H;VERT;;20190830;;;;;0;;54.00;0
FOARADC2;ARAD;ARAD C2 FS OPTIQUE;freakshow;Optique;53-20-145;AT;RECTANGULAIRE;H;ROUGE;;20190830;;;;;0;;54.00;0
FOARADC3;ARAD;ARAD C3 FS OPTIQUE;freakshow;Optique;53-20-145;AT;RECTANGULAIRE;H;MARRON;;20190830;;;;;0;;54.00;0
FOBOLTANSKIC1;BOLTANSKI;BOLTANSKI C1 FS OPTIQUE;freakshow;Optique;54-17-145;AT;RECTANGULAIRE;H;BLEU;;20190830;;;;;0;;49.00;0
FOBOLTANSKIC2;BOLTANSKI;BOLTANSKI C2 FS OPTIQUE;freakshow;Optique;54-17-145;AT;RECTANGULAIRE;H;MARRON;;20190830;;;;;0;;49.00;1
FOBOLTANSKIC3;BOLTANSKI;BOLTANSKI C3 FS OPTIQUE;freakshow;Optique;54-17-145;AT;RECTANGULAIRE;H;NOIR;;20190830;;;;;0;;49.00;0
FOBREUERC1;BREUER;BREUER C1 FS OPTIQUE;freakshow;Optique;53-19-145;AT;RECTANGULAIRE;H;BLEU;;20190830;;;;;0;;47.00;1
FOBREUERC2;BREUER;BREUER C2 FS OPTIQUE;freakshow;Optique;53-19-145;AT;RECTANGULAIRE;H;GRIS;;20190830;;;;;0;;47.00;1
FOBREUERC3;BREUER;BREUER C3 FS OPTIQUE;freakshow;Optique;53-19-145;AT;RECTANGULAIRE;H;Vert;;20190830;;;;;0;;47.00;1
FOBUNUELC1;BUNUEL;BUNUEL C1 FS OPTIQUE;freakshow;Optique;51-23-150;AU;RECTANGULAIRE;H;BLEU;;20190830;;;;;0;;65.00;1
FOBUNUELC2;BUNUEL;BUNUEL C2 FS OPTIQUE;freakshow;Optique;51-23-150;AU;RECTANGULAIRE;H;MARRON;;20190830;;;;;0;;65.00;1
FOBUNUELC3;BUNUEL;BUNUEL C3 FS OPTIQUE;freakshow;Optique;51-23-150;AU;RECTANGULAIRE;H;CRYSTAL;;20190830;;;;;0;;65.00;1
FOCALDERC1;CALDER;CALDER C1 FS OPTIQUE;freakshow;Optique;48-18-140;ME;RONDE;H;ROUGE;;20190830;;;;;0;;54.00;1
FOCALDERC2;CALDER;CALDER C2 FS OPTIQUE;freakshow;Optique;48-18-140;ME;RONDE;H;VIOLET;;20190830;;;;;0;;54.00;1
FOCALDERC3;CALDER;CALDER C3 FS OPTIQUE;freakshow;Optique;48-18-140;ME;RONDE;H;GRIS;;20190830;;;;;0;;54.00;1
FOCALLEC1;CALLE;CALLE C1 FS OPTIQUE;freakshow;Optique;50-16-140;AT;PAPILLONNANTE;F;ROUGE;;20190830;;;;;0;;47.00;1
FOCALLEC2;CALLE;CALLE C2 FS OPTIQUE;freakshow;Optique;50-16-140;AT;PAPILLONNANTE;F;BLEU;;20190830;;;;;0;;47.00;1
FOCALLEC3;CALLE;CALLE C3 FS OPTIQUE;freakshow;Optique;50-16-140;AT;PAPILLONNANTE;F;GRIS;;20190830;;;;;0;;47.00;1
FOCLAISSEC1;CLAISSE;CLAISSE C1 FS Optique;freakshow;Optique;51-17-140;AT;PAPILLONNANTE;F;MARRON;;20190830;;;;;0;;57.00;1
FOCLAISSEC2;CLAISSE;CLAISSE C2 FS Optique;freakshow;Optique;51-17-140;AT;PAPILLONNANTE;F;BLEU;;20190830;;;;;0;;57.00;1
FOCLAISSEC3;CLAISSE;CLAISSE C3 FS Optique;freakshow;Optique;51-17-140;AT;PAPILLONNANTE;F;ROUGE;;20190830;;;;;0;;57.00;1
FOCLAUDELC1;CLAUDEL;CLAUDEL  C1 FS OPTIQUE;freakshow;Optique;52-18-142;AT;PAPILLONNANTE;F;NOIR;;20190830;;;;;0;;54.00;0
FOCLAUDELC2;CLAUDEL;CLAUDEL  C2 FS OPTIQUE;freakshow;Optique;52-18-142;AT;PAPILLONNANTE;F;ROSE;;20190830;;;;;0;;54.00;0
FOCLAUDELC3;CLAUDEL;CLAUDEL  C3 FS OPTIQUE;freakshow;Optique;52-18-142;AT;PAPILLONNANTE;F;VERT;;20190830;;;;;0;;54.00;0
FOCOCTEAUC1;COCTEAU;COCTEAU C1 FS OPTIQUE;freakshow;Optique;51-19-148;AT;PANTOS;H;CRYSTAL;;20190830;;;;;0;;57.00;0
FOCOCTEAUC2;COCTEAU;COCTEAU C2 FS OPTIQUE;freakshow;Optique;51-19-148;AT;PANTOS;H;MARRON;;20190830;;;;;0;;57.00;0
FOCOCTEAUC3;COCTEAU;COCTEAU C3 FS OPTIQUE;freakshow;Optique;51-19-148;AT;PANTOS;H;GRIS;;20190830;;;;;0;;57.00;0
FOGROPIUSC1;GROPIUS;GROPIUS C1 FS OPTIQUE;freakshow;Optique;53-19-145;ME;CARRE;H;BLEU;;20190924;;;;;0;;54.00;1
FOGROPIUSC2;GROPIUS;GROPIUS C2 FS OPTIQUE;freakshow;Optique;53-19-145;ME;CARRE;H;ROUGE;;20190924;;;;;0;;54.00;1
FOGROPIUSC3;GROPIUS;GROPIUS C3 FS OPTIQUE;freakshow;Optique;53-19-145;ME;CARRE;H;GRIS;;20190924;;;;;0;;54.00;1
FOGUISSETC1;GUISSET;GUISSET C1 FS OPTIQUE;freakshow;Optique;56-17-140;AT;RONDE;F;ROSE;;20190830;;;;;0;;54.00;0
FOGUISSETC2;GUISSET;GUISSET C2 FS OPTIQUE;freakshow;Optique;56-17-140;AT;RONDE;F;MARRON;;20190830;;;;;0;;54.00;0
FOGUISSETC3;GUISSET;GUISSET C3 FS OPTIQUE;freakshow;Optique;56-17-140;AT;RONDE;F;VIOLET;;20190830;;;;;0;;54.00;0
FOKAHLOC1;KAHLO;KAHLO C1 FS OPTIQUE;freakshow;Optique;52-15-140;AT;PAPILLONNANTE;F;MARRON;;20190830;;;;;0;;54.00;0
FOKAHLOC2;KAHLO;KAHLO C2 FS OPTIQUE;freakshow;Optique;52-15-140;AT;PAPILLONNANTE;F;ROUGE;;20190830;;;;;0;;54.00;0
FOKAHLOC3;KAHLO;KAHLO C3 FS OPTIQUE;freakshow;Optique;52-15-140;AT;PAPILLONNANTE;F;BLEU;;20190830;;;;;0;;54.00;0
FOORLANC1;ORLAN;ORLAN C1 FS OPTIQUE;freakshow;Optique;54-15-140;AT;PAPILLONNANTE;F;ROUGE;;20190830;;;;;0;;49.00;0
FOORLANC2;ORLAN;ORLAN C2 FS OPTIQUE;freakshow;Optique;54-15-140;AT;PAPILLONNANTE;F;VERT;;20190830;;;;;0;;49.00;0
FOORLANC3;ORLAN;ORLAN C3 FS OPTIQUE;freakshow;Optique;54-15-140;AT;PAPILLONNANTE;F;MARRON;;20190830;;;;;0;;49.00;0
FOPERRIANDC1;PERRIAND;PERRIAND C1 FS OPTIQUE;freakshow;Optique;51-20-140;AU;CARRE;F;BLEU;;20190830;;;;;0;;65.00;1
FOPERRIANDC2;PERRIAND;PERRIAND C2 FS OPTIQUE;freakshow;Optique;51-20-140;AU;CARRE;F;VIOLET;;20190830;;;;;0;;65.00;1
FOPERRIANDC3;PERRIAND;PERRIAND C3 FS OPTIQUE;freakshow;Optique;51-20-140;AU;CARRE;F;CREME;;20190830;;;;;0;;65.00;1
FOPHUNGC1;PHUNG;PHUNG C1 FS OPTIQUE;freakshow;Optique;55-19-140;AT;PAPILLONNANTE;F;VERT;;20190830;;;;;0;;56.00;1
FOPHUNGC2;PHUNG;PHUNG C2 FS OPTIQUE;freakshow;Optique;55-19-140;AT;PAPILLONNANTE;F;ROUGE;;20190830;;;;;0;;56.00;0
FOPHUNGC3;PHUNG;PHUNG C3 FS OPTIQUE;freakshow;Optique;55-19-140;AT;PAPILLONNANTE;F;GRIS;;20190830;;;;;0;;56.00;1
FOSAARINENC1;SAARINEN;SAARINEN C1 FS OPTIQUE;freakshow;Optique;52-20-145;AU;PILOTE;H;BLEU;;20190830;;;;;0;;65.00;1
FOSAARINENC2;SAARINEN;SAARINEN C2 FS OPTIQUE;freakshow;Optique;52-20-145;AU;PILOTE;H;ROUGE;;20190830;;;;;0;;65.00;1
FOSAARINENC3;SAARINEN;SAARINEN C3 FS OPTIQUE;freakshow;Optique;52-20-145;AU;PILOTE;H;GRIS;;20190830;;;;;0;;65.00;1
FOYOSHIOKAC1;YOSHIOKA;YOSHIOKA C1 FS OPTIQUE;freakshow;Optique;47-22-145;AT;CARRE;H;BLEU;;20190830;;;;;0;;49.00;1
FOYOSHIOKAC2;YOSHIOKA;YOSHIOKA C2 FS OPTIQUE;freakshow;Optique;47-22-145;AT;CARRE;H;MARRON;;20190830;;;;;0;;49.00;1
FOYOSHIOKAC3;YOSHIOKA;YOSHIOKA C3 FS OPTIQUE;freakshow;Optique;47-22-145;AT;CARRE;H;GRIS;;20190830;;;;;0;;49.00;1
FSDELAUNAYC1;DELAUNAY;DELAUNAY C1 FS Solaire;freakshow;Solaire;51-20-145;AT;PAPILLONNANTE;F;MARRON;;20190830;;;;;0;;65.00;1
FSDELAUNAYC2;DELAUNAY;DELAUNAY C2 FS Solaire;freakshow;Solaire;51-20-145;AT;PAPILLONNANTE;F;ROUGE;;20190830;;;;;0;;65.00;1
FSDELAUNAYC3;DELAUNAY;DELAUNAY C3 FS Solaire;freakshow;Solaire;51-20-145;AT;PAPILLONNANTE;F;VIOLET;;20190830;;;;;0;;65.00;1
FSDELEMPICKAC1;DELEMPICKA;DE LEMPICKA C1 FS SOLAIRE;freakshow;Solaire;51-20-140;CO;OVAL;F;BLEU;;20190830;;;;;0;;56.00;1
FSDELEMPICKAC2;DELEMPICKA;DE LEMPICKA C2 FS SOLAIRE;freakshow;Solaire;51-20-140;CO;OVAL;F;ROSE;;20190830;;;;;0;;56.00;1
FSDELEMPICKAC3;DELEMPICKA;DE LEMPICKA C3 FS SOLAIRE;freakshow;Solaire;51-20-140;CO;OVAL;F;MARRON;;20190830;;;;;0;;56.00;1
FSGANJIC1;GANJI;GANJI C1 FS SOLAIRE;freakshow;Solaire;56-16-148;AT;RECTANGULAIRE;H;MARRON;;20190830;;;;;0;;59.00;1
FSGANJIC2;GANJI;GANJI C2 FS SOLAIRE;freakshow;Solaire;56-16-148;AT;RECTANGULAIRE;H;BLEU;;20190830;;;;;0;;59.00;1
FSGANJIC3;GANJI;GANJI C3 FS SOLAIRE;freakshow;Solaire;56-16-148;AT;RECTANGULAIRE;H;ROUGE;;20190830;;;;;0;;59.00;1
FSKAPOORC1;KAPOOR;KAPOOR C1 FS SOLAIRE;freakshow;Solaire;49-23-145;AT;RONDE;U;ROUGE;;20190830;;;;;0;;59.00;1
