id;Title;Date;CustomerCode;Type;ItemCode;Remarques;Paire de branche;Branche gauche;Branche droite;Verres présentation;Verres solaires;Face;Tenon;Vis plaquettes;Vis face;Vis branches;Manchon;Plaquettes;Vis;Manchon gauche;Manchon droit;Tenon gauche;Tenon droit;Clip
205391;Utilisateur : 3181 - Référence monture : vopalmerc2;20191204;C0556302143;Pièces détachées;vopalmerc2;bras de plaquette cassé ref FURT;;;;;;1;;;;;;;;;;;;
205392;Utilisateur : 2946 - Référence monture : lslembc1;20191204;C0493682459;Pièces détachées;lslembc1;;;1;1;;;1;;;;;;;;;;;;
205399;Utilisateur : 4963 - Référence monture : vobraxtonc2;20191204;C0472546105;Pièces détachées;vobraxtonc2;;;;1;;;;;;;;;;;;;;;
205400;Utilisateur : 2426 - Référence monture : foalbrightc6;20191204;C0473617319;Pièces détachées;foalbrightc6;OPTIK;;;;;;1;;;;;;;;;;;;
205401;Utilisateur : 4963 - Référence monture : vobraxtonc2;20191204;C0472546105;Pièces détachées;vobraxtonc2;;;;1;;;;;;;;;;;;;;;
205402;Utilisateur : 3837 - Référence monture : lobarflyc3;20191204;C0299742824;Pièces détachées;lobarflyc3;;;;1;;;1;;;;;;;;;;;;
205403;Utilisateur : 2670 - Référence monture : vobenatarc3;20191204;C0478267139;Pièces détachées;vobenatarc3;;;;;;;1;;;;;;;;;;;;
205408;Utilisateur : 2670 - Référence monture : lorockcityc2;20191204;C0478267139;Pièces détachées;lorockcityc2;;;1;1;;;1;;;;;;;2;;;;;
205409;Utilisateur : 1268 - Référence monture : iosatchmoc3;20191204;C0321124671;Pièces détachées;iosatchmoc3;;;;;;;1;;;;;;;;;;;;
205413;Utilisateur : 1301 - Référence monture : votrimblec1;20191204;C0321491040;Pièces détachées;votrimblec1;POPEK;;;1;;;1;;;;;;;;;;;;
205414;Utilisateur : 2852 - Référence monture : ioolblueeyesc2;20191204;C0491497672;Pièces détachées;ioolblueeyesc2;;;1;;;;;;;;;;;;;;;;
205415;Utilisateur : 3942 - Référence monture : loorangepeelc2;20191204;C0491372299;Pièces détachées;loorangepeelc2;merci de commander les branches pour Mme. DAUPHIN;;1;1;;;;;;;;;;;;;;;
205416;Utilisateur : 3929 - Référence monture : logibusc3;20191204;C0254335240;Pièces détachées;logibusc3;;;1;1;;;;;;;;;;;;;;;
